forecastname,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2011,3.51627907,0.6948598131,9.210628019,8.293577982,7.825550661,,,,,,,,,,
2012,,2.145070423,4.985645933,9.569811321,7.559375,7.214285714,,,,,,,,,
2013 (консервативный),,,,2.5,3.9,3.9,3.9,,,,,,,,
2013(базовый),,,,2.5,6,6,6,,,,,,,,
2014,,,,0,-0.5,0.4,0.4,0.6,,,,,,,
2015,,,,,-0.4,-2.1,-0.4,0.4,0.5,,,,,,
2016 (базовый),,,,,,-1.6,-0.8,-0.1,0.3,0.4,,,,,
2016 (базовый +),,,,,,-1.6,-0.8,0.4,0.8,1.2,,,,,
2017,,,,,,,-0.4,0.9,1,1.2,1.3,,,,
2018,,,,,,,,4.3,2.9,3.1,7.5,6.9,6.6,6.4,6.1