,1 .,3 .,7 .,14 .,21 .,30 .,60 .,90 .
31.07.1998,13.73,17.5,28,30.33,32,33.67,35.5,40
03.08.1998,26.2,18,26,29.67,31.33,32.67,35.5,40
04.08.1998,26.93,22.5,27.33,29.33,30.67,32.33,35.5,40
05.08.1998,26.73,24,28,29.33,30.33,32.33,35.5,40
06.08.1998,25.47,21,27.33,28.67,29.33,30.33,31.5,34.5
07.08.1998,18.08,17,26.67,28.33,29,29.67,31.5,34.5
10.08.1998,28.29,20.33,26.33,28.67,29.33,30,31.5,34.5
11.08.1998,33.8,22.5,27,28.67,29.33,30,31.5,34.5
12.08.1998,49.67,25,27.67,28.67,29.33,30,31.5,34.5
13.08.1998,65.21,27,30.67,31.33,32,32.67,34.5,35
14.08.1998,85.5,62.5,37,37,37,38,39,40
17.08.1998,84.14,33,40,37,37,38,39,40
18.08.1998,96,60,60,60,60,60,60,60
19.08.1998,107.5,60,60,60,60,60,60,60
20.08.1998,104,40,40,40,40,40,40,30
21.08.1998,90,80,20,20,20,20,20,20
24.08.1998,98.33,20,20,20,20,20,20,20
25.08.1998,84.4,20,20,20,20,20,20,20
26.08.1998,84.4,20,20,20,20,20,20,20
27.08.1998,84.4,20,20,20,20,20,20,20
28.08.1998,74,73.33,20,20,20,20,20,20
31.08.1998,65.56,33.63,29.71,30.32,30.7,31.24,32.21,33.21
31.08.1998,83.67,20,20,20,20,20,20,20
01.09.1998,39.25,20,20,20,20,20,20,20
02.09.1998,58.4,20,20,20,20,20,20,20
03.09.1998,63.67,20,20,20,20,20,20,20
04.09.1998,60.33,20,20,20,20,20,20,20
07.09.1998,53.13,20,20,20,20,20,20,20
08.09.1998,61.9,20,20,20,20,20,20,20
09.09.1998,52.86,20,20,20,20,20,20,20
10.09.1998,67.72,20,20,20,20,20,20,20
11.09.1998,52.96,20,20,20,20,20,20,20
14.09.1998,61.9,20,20,20,20,20,20,20
15.09.1998,54.75,20,20,20,20,20,20,20
16.09.1998,45.33,20,20,20,20,20,20,20
17.09.1998,47,20,20,20,20,20,20,20
18.09.1998,48.67,20,20,20,20,20,20,20
21.09.1998,41.17,20,20,20,20,20,20,20
22.09.1998,50.33,20,20,20,20,20,20,20
23.09.1998,43.67,20,20,20,20,20,20,20
24.09.1998,41.17,20,20,20,20,20,20,20
25.09.1998,43.8,20,20,20,20,20,20,20
28.09.1998,43.17,20,20,20,20,20,20,20
29.09.1998,44.83,20,20,20,20,20,20,20
30.09.1998,50.8,20,20,20,20,20,20,20
30.09.1998,41.5,20,20,20,20,20,20,20
01.10.1998,46.71,20,20,20,20,20,20,20
02.10.1998,38.67,60,20,20,20,20,20,20
05.10.1998,49.57,,,,,,,
06.10.1998,27.17,30,25,25,25,25,25,
07.10.1998,23.4,,,,,,,
08.10.1998,25.5,,,,,,,
09.10.1998,26.75,15,,,,,,
12.10.1998,24.67,,,,,,,
13.10.1998,21,,,,,,,
14.10.1998,20.83,,,,,,,
15.10.1998,23,,,,,,,
16.10.1998,23,15,,,,,,
19.10.1998,24.46,,,,,,,
20.10.1998,22.65,20,20,20,20,20,20,20
21.10.1998,23.26,,30,,,,,
22.10.1998,24.68,,25,,,,,
23.10.1998,24.29,10,25,30,,,,
26.10.1998,19.86,,30,35,,,,
27.10.1998,18.71,,30,35,,30,,
28.10.1998,20.78,,30,35,,30,,
29.10.1998,22.08,,30,35,,30,,
30.10.1998,19.12,,,,,,,
31.10.1998,25.92,24.29,25.91,28.33,21.25,25,21.25,20
02.11.1998,20.07,,30,35,,30,,
03.11.1998,23.41,,30,35,,30,,
04.11.1998,21.64,,28,33,,25,,
05.11.1998,24.28,,25,32,,28,,
06.11.1998,25.86,15,25,29,,25,,
10.11.1998,24.17,,20,25,,20,,
11.11.1998,22.65,,20,25,,20,,
12.11.1998,23.99,,25,28,,25,,
13.11.1998,19.85,15,25,28,,20,,
16.11.1998,24.39,,25,28,,20,,
17.11.1998,23.99,,25,28,,23,,
18.11.1998,21.2,,25,28,,20,,
19.11.1998,22.39,,25,28,,20,,
20.11.1998,15,15,25,28,,22,,
23.11.1998,22.36,,25,28,,22,,
24.11.1998,21.23,,25,28,,22,,
25.11.1998,20.64,,25,28,,22,,
26.11.1998,20.23,,25,28,,22,,
27.11.1998,17.31,,25,28,,25,,
30.11.1998,21.83,15,25.15,28.9,,23.3,,
30.11.1998,22,,25,28,,25,,
01.12.1998,21.32,,25,26,,25,,
02.12.1998,21.3,,25,28,,25,,
03.12.1998,20.12,,25,28,,25,,
04.12.1998,17.13,15,25,28,,25,,
07.12.1998,20.94,,25,28,,25,,
08.12.1998,21.42,,28,31,,30,,
09.12.1998,22.08,,27,31,,28,,
10.12.1998,23.04,,26,30,,28,,
11.12.1998,18.34,,26,30,,28,,
15.12.1998,22.13,,25,30,,27,,
16.12.1998,21.2,,25,30,,25,,
17.12.1998,20.69,,25,30,,27,,
18.12.1998,16.16,,25,30,,27,,
21.12.1998,20.99,,25,25,,23,,
22.12.1998,25.18,,28,30,,30,,
23.12.1998,23.55,,28,30,,28,,
24.12.1998,24.14,,25,29,,26,,
25.12.1998,22.67,15,28,30,,28,,
28.12.1998,20.2,,25,25,,23,,
29.12.1998,30.03,,25,28,,31,,
30.12.1998,53.19,,20,25,,28,,
31.12.1998,23.44,15,25.05,28.27,,26.91,,
31.12.1998,29.89,,15,20,,30,,
05.01.1999,37.03,,15,20,,30,,
06.01.1999,27.64,,20,23,,27,,
10.01.1999,26.27,,20,23,,27,,
11.01.1999,25.15,,20,23,,27,,
12.01.1999,23.47,,20,22,,25,,
13.01.1999,25.75,,20,23,,23,,
14.01.1999,23.86,,20,23,,,,
15.01.1999,24.14,,15,20,,25,,
18.01.1999,22.8,,20,22,,22,,
19.01.1999,24,,20,22,,22,,
20.01.1999,28.79,,20,22,,20,,
21.01.1999,31.15,,20,20,,20,,
22.01.1999,30.81,,20,20,,20,,
25.01.1999,29.43,,20,21,,20,,
26.01.1999,26.62,,20,23,,20,,
27.01.1999,29.3,,20,22,,20,,
28.01.1999,20.2,,20,23,,25,,
29.01.1999,17,25,20,23,,25,,
31.01.1999,26.3,25,19.44,21.94,,23.41,,
01.02.1999,19.67,,20,23,,25,,
02.02.1999,25.33,,20,23,,25,,
03.02.1999,21.67,,20,23,,25,,
04.02.1999,25.6,,20,22,,23,,
05.02.1999,17.17,,20,22,,23,,
08.02.1999,15.67,,20,22,,23,,
09.02.1999,20,,20,22,,23,,
10.02.1999,19.8,,20,22,,23,,
11.02.1999,19.4,,20,21,,23,,
12.02.1999,4,15,20,21,,23,,
15.02.1999,16,,20,21,,22,,
16.02.1999,17.25,,18,22,,20,,
17.02.1999,17,,18,20,,23,,
18.02.1999,15,,15,20,,23,,
19.02.1999,10.75,20,18,20,,25,,
22.02.1999,14.2,,18,20,,23,,
23.02.1999,12.4,,15,19,,20,,
24.02.1999,13.8,,17,20,,23,,
25.02.1999,13,,15,17,,20,,25
26.02.1999,7.6,,15,17,,20,,25
28.02.1999,16.27,17.5,18.45,20.85,,22.75,,25
01.03.1999,12.33,,15,18,,20,,25
02.03.1999,11.8,,15,18,,20,,25
03.03.1999,9.6,,15,16,,20,,25
04.03.1999,10.2,,15,15,,20,,25
05.03.1999,5.75,15,15,15,,20,,25
09.03.1999,10.6,,13,15,,20,,25
10.03.1999,10.6,,15,17,,20,,25
11.03.1999,9.6,,15,18,,20,,25
12.03.1999,5.75,10,15,18,,20,,25
15.03.1999,10.4,,15,17,,20,,25
16.03.1999,12.4,,15,17,,20,,25
17.03.1999,15.6,,15,17,,20,,25
18.03.1999,12.4,,15,17,,20,,25
19.03.1999,7.25,15,15,17,,20,,25
22.03.1999,12.4,,15,17,,20,,25
23.03.1999,12.4,,15,17,,20,,25
24.03.1999,13.4,,15,18,,20,,25
25.03.1999,16,,15,17,,21,,27
26.03.1999,6.75,15,15,17,,21,,27
29.03.1999,11.8,,15,17,,21,,27
30.03.1999,11,,15,17,,21,,27
31.03.1999,10.9,13.75,14.91,16.91,,20.32,,25.5
31.03.1999,11.8,,15,17,,23,,28
01.04.1999,15.4,,15,17,,23,,28
02.04.1999,8,20,15,17,,23,,28
05.04.1999,12,,15,17,,23,,28
06.04.1999,13.4,,16.5,17.5,,23,,29
07.04.1999,13.4,,15,18,,23,,29
08.04.1999,13.4,,15,18,,23,,29
09.04.1999,8.75,15,15,18,,23,,29
12.04.1999,11.6,,15,18,,23,,29
13.04.1999,13.6,,15,18,,23,,29
14.04.1999,13.8,,15,18,,23,,29
15.04.1999,9.4,,15,18,,23,,29
16.04.1999,8.8,,15,18,,23,,29
19.04.1999,9.5,20,15,18,,23,,29
20.04.1999,11.6,,15,18,,23,,29
21.04.1999,12.6,,15,19,,23,,29
22.04.1999,11.8,,15,18,,23,,29
23.04.1999,8.4,,15,18,,23,,29
26.04.1999,11.6,,15,18,,23,,29
27.04.1999,10.2,,15,18,,23,,29
28.04.1999,8.4,,15,18,,23,,29
29.04.1999,7.6,,15,18,,23,,29
30.04.1999,10.97,16.25,14.75,17.57,,22.91,,28.86
30.04.1999,8,10,8,11,,21,,29
05.05.1999,11.7,,7,11,,21,,29
06.05.1999,7.4,,8,11,,21,,29
07.05.1999,6.2,,8,11,,21,,29
11.05.1999,7.6,,15,18,,23,,29
12.05.1999,5.4,,15,18,,23,,29
13.05.1999,6.4,,15,18,,23,,29
14.05.1999,6,7,15,18,,23,,29
17.05.1999,7.2,,15,18,,23,,29
18.05.1999,6.6,,8,13,,23,,27
19.05.1999,6.2,,8,13,,23,,27
20.05.1999,6,,8,13,,23,,27
21.05.1999,4.8,,8,13,,23,,27
24.05.1999,4.75,7,8,13,,23,,27
25.05.1999,5,,8,13,,23,,27
26.05.1999,5.2,,8,13,,23,,27
27.05.1999,5,,8,13,,23,,27
28.05.1999,4.4,,8,13,,23,,27
31.05.1999,6.21,7,9.89,14.06,,22.67,,27.89
31.05.1999,6,,8,13,,23,,27
01.06.1999,5.2,,9,12,,17,,25
02.06.1999,5.4,,9,12,,17,,25
03.06.1999,4.6,,9,12,,17,,25
04.06.1999,4.6,,9,12,,17,,25
07.06.1999,4.6,,9,12,,17,,25
08.06.1999,5,,9,12,,17,,25
09.06.1999,5.4,,9,12,,17,,25
10.06.1999,5,,9,12,,17,,25
11.06.1999,4.4,,9,12,,17,,25
15.06.1999,5.8,,5,10,,15,,20
16.06.1999,6.8,,5,10,,15,,20
17.06.1999,5,,5,10,,15,,20
18.06.1999,4.6,,5,10,,15,,20
21.06.1999,4.8,,5,10,,15,,20
22.06.1999,4.6,,5,10,,15,,20
23.06.1999,5,,5,10,,15,,20
24.06.1999,4.8,,5,10,,15,,20
25.06.1999,4.5,,5,10,,15,,20
28.06.1999,5,,5,10,,15,,20
29.06.1999,5.6,,5,10,,15,,20
30.06.1999,5.08,,6.71,10.86,,15.86,,22.14
30.06.1999,6,,5,10,,15,,20
01.07.1999,7.6,,5,10,,15,,20
02.07.1999,4.4,,5,9,,15,,20
05.07.1999,6.5,,5,9,,15,,20
06.07.1999,7,,5,9,,15,,20
07.07.1999,6.6,,5,9,,15,,20
08.07.1999,6,,5,9,,15,,20
09.07.1999,5.25,4,5,9,,15,,20
12.07.1999,6.8,,5,9,,15,,20
13.07.1999,5.4,,5,9,,15,,20
14.07.1999,6,,5,9,,15,,20
15.07.1999,5.6,,5,9,,15,,20
16.07.1999,4.75,6,5,9,,15,,20
19.07.1999,5.4,,5,9,,15,,20
20.07.1999,5.6,,5,9,,15,,20
21.07.1999,5.2,,5,9,,15,,20
22.07.1999,5,,5,9,,15,,20
23.07.1999,4.5,4,5,9,,15,,20
26.07.1999,5,,5,9,,15,,20
27.07.1999,4.8,,5,9,,15,,20
28.07.1999,4.6,,5,9,,15,,20
29.07.1999,5.6,,5,9,,15,,20
30.07.1999,5.6,,5,9,,15,,20
31.07.1999,5.6,4.67,5,9.05,,15,,20
02.08.1999,8.6,,5,9,,15,,20
03.08.1999,5.2,,5,9,,15,,20
04.08.1999,4.4,,5,9,,15,,20
05.08.1999,6.2,,5,9,,15,,20
06.08.1999,4.4,,5,9,,15,,20
09.08.1999,5.4,,5,9,,15,,20
10.08.1999,6.8,,5,9,,15,,20
11.08.1999,6.8,,5,9,,15,,20
12.08.1999,5.8,,5,9,10,15,18,20
13.08.1999,3.9,,5,9,10,15,18,20
16.08.1999,5.1,,5,9,10,15,18,20
17.08.1999,6,,5,9,10,14,17,21
18.08.1999,5.4,,5,9,10,14,17,21
19.08.1999,4.6,,5,9,10,15,17,20
20.08.1999,4.2,,5,9,10,15,17,20
23.08.1999,5.2,,5,9,10,15,17,20
24.08.1999,5.2,,5,9,10,15,17,20
25.08.1999,6.6,,5,9,10,15,17,20
26.08.1999,6,,5,9,10,15,17,20
27.08.1999,6.5,6,5,9,10,15,17,20
30.08.1999,4.75,,5,9,10,15,17,20
31.08.1999,5.71,6,5,9,10,14.91,17.21,20.09
31.08.1999,8.6,,5,9,10,15,17,20
01.09.1999,10.8,,6,10,10,15,17,20
02.09.1999,9.2,,5,10,10,15,17,20
03.09.1999,7,2,6,10,10,15,17,20
06.09.1999,7,,6,10,10,15,17,20
07.09.1999,5,,6,10,10,15,17,20
08.09.1999,5.2,,6,10,10,15,17,20
09.09.1999,6.2,,6,10,10,15,17,20
10.09.1999,4.8,,6,10,10,15,17,20
13.09.1999,6.4,,6,10,10,15,17,20
14.09.1999,10,,6,10,10,15,17,20
15.09.1999,12,,6,10,10,15,17,20
16.09.1999,12.4,,6,10,10,15,17,20
17.09.1999,11.25,10,13,15,16,18,20,21
20.09.1999,12.8,,13,15,16,18,20,21
21.09.1999,16.8,,13,15,16,18,20,21
22.09.1999,17,,13,15,16,18,20,21
23.09.1999,18.4,,13,15,16,18,20,21
24.09.1999,17.8,,22,24,26,27,28,30
27.09.1999,14,,22,24,26,27,28,30
28.09.1999,11.8,,22,24,26,27,28,30
29.09.1999,12.8,,19,23,24,26,28,28
30.09.1999,10.95,6,10.73,14.09,14.64,18.14,19.95,22.14
30.09.1999,12.2,,15,20,20,22,23,24
01.10.1999,13.25,15,15,20,20,22,23,24
04.10.1999,14.8,,20,23,22,25,24,22
05.10.1999,13.4,,19,23,26,26,24,22
06.10.1999,10,,19,22,24,25,23,21
07.10.1999,8.4,,19,22,24,25,23,21
08.10.1999,7.2,,10,13,17,20,23,25
11.10.1999,8.6,,10,13,15,20,22,25
12.10.1999,14,,10,12,14,17,21,25
13.10.1999,12.6,,12,14,18,19,21,25
14.10.1999,9.8,,10,12,14,17,19,23
15.10.1999,5.5,5,10,13,15,18,22,26
18.10.1999,11.4,,13,15,17,20,23,25
19.10.1999,7.2,,10,13,16,20,23,25
20.10.1999,8.6,,10,13,17,19,22,25
21.10.1999,9.4,,11,14,17,20,23,25
22.10.1999,8.6,,12,15,18,20,23,25
25.10.1999,9.6,,12,14,16,20,23,25
26.10.1999,10.4,,12,14,16,20,23,25
27.10.1999,11.75,,12,14,16,20,23,25
28.10.1999,14.6,,12,14,16,20,23,25
29.10.1999,21,,23,20,19,20,23,25
31.10.1999,10.96,10,13.38,15.86,17.95,20.62,22.57,24.24
01.11.1999,12.6,,12,14,16,20,23,25
02.11.1999,10.2,,14,18,19,19,20,22
03.11.1999,6.4,,14,18,19,19,20,22
04.11.1999,6,,12,16,18,19,20,22
05.11.1999,5.5,5,11,16,17,18,20,22
09.11.1999,7,,7,10,13,20,24,25
10.11.1999,10.6,,10,14,17,20,25,26
11.11.1999,9,,9,13,18,20,25,27
12.11.1999,7.25,5,8,12,15,18,25,25
15.11.1999,9.4,,9,13,17,20,25,25
16.11.1999,7.4,,8,12,15,19,25,24
17.11.1999,8.2,,13,18,19,19,20,22
18.11.1999,6.6,,8,10,12,18,25,25
19.11.1999,5,5,7,12,14,18,25,24
22.11.1999,5.4,,8,10,12,15,24,22
23.11.1999,5.4,,7,10,13,17,23,22
24.11.1999,5.2,,7,11,13,17,23,22
25.11.1999,6.2,,7,10,14,18,23,22
26.11.1999,5.2,5,9,13,18,21,28,25
29.11.1999,5.2,,8,14,18,21,32,29
30.11.1999,7.63,5,9.9,13.29,15.81,19.1,23.81,23.71
30.11.1999,16.4,,20,15,15,25,25,20
01.12.1999,11,,10,12,13,25,32,30
02.12.1999,7.4,,8,12,15,25,32,30
03.12.1999,5,5,8,12,17,27,32,30
06.12.1999,6.2,,9,12,15,24,29,30
07.12.1999,5.4,,9,13,17,28,32,28
08.12.1999,5.2,,9,13,18,32,35,28
09.12.1999,9.2,,9,9,20,24,23,21
10.12.1999,17.6,,15,15,23,25,25,23
14.12.1999,9.8,,13,15,22,26,28,28
15.12.1999,9.4,,10,13,22,25,24,23
16.12.1999,8.2,,10,12,22,24,23,22
17.12.1999,6.6,,10,12,22,24,23,22
20.12.1999,11.4,,15,23,24,24,23,22
21.12.1999,10,,10,23,24,25,24,23
22.12.1999,9.8,,10,22,23,22,20,21
23.12.1999,9.4,,23,22,22,22,20,21
24.12.1999,6.6,,23,22,22,22,20,21
27.12.1999,8.8,,23,22,22,22,20,21
28.12.1999,11,,23,22,22,22,20,21
29.12.1999,17.5,,17.5,15,16,18,22,25
30.12.1999,10,7,,,,,,
05.01.2000,11.67,,,,,,,
06.01.2000,11,5,8,10,13,15,17,20
10.01.2000,8.6,,8,10,13,15,17,20
11.01.2000,5.6,,5,7,10,13,15,20
12.01.2000,5.2,,5,7,10,13,15,20
13.01.2000,6.2,,4,7,7,10,12,17
14.01.2000,4.25,3,4,7,7,10,12,17
17.01.2000,6.2,,10,12,13,14,17,20
18.01.2000,8.2,,10,12,13,14,17,20
19.01.2000,5.4,,10,12,13,14,17,20
20.01.2000,6.6,,10,12,13,14,17,20
21.01.2000,5.5,5,10,12,13,14,17,20
24.01.2000,6.6,,10,12,13,14,17,20
25.01.2000,10,,,,,,,
26.01.2000,11.4,,11,10,13,15,18,21
27.01.2000,11.75,,,,,,,
28.01.2000,7.25,7,9,10,12,15,18,21
31.01.2000,8.4,,9,10,12,15,18,21
01.02.2000,16,,10,11,13,15,18,20
02.02.2000,10,,10,11,13,15,18,20
03.02.2000,8.2,,10,11,13,15,18,20
04.02.2000,6.5,3,7,10,12,15,18,20
07.02.2000,7.2,,7,10,12,16,18,21
08.02.2000,5.6,,7,10,12,16,18,21
09.02.2000,5.8,,7,10,12,16,18,21
10.02.2000,5.6,,6,10,12,15,18,20
11.02.2000,5.5,4,6,10,12,15,18,20
14.02.2000,6.2,,6,10,12,15,18,20
15.02.2000,6.8,,6,10,12,15,18,20
16.02.2000,5.8,,7,10,13,15,18,20
17.02.2000,5.6,,8,11,13,15,20,21
18.02.2000,5.8,,8,11,13,15,20,21
21.02.2000,6.2,,8,11,13,15,20,21
22.02.2000,7.4,,9,11,13,16,20,21
23.02.2000,13.4,,10,12,13,14,20,20
24.02.2000,8.6,,8,10,11,12,20,21
25.02.2000,7.75,4,8,11,13,15,18,19
28.02.2000,6.2,,8,10,11,12,15,15
29.02.2000,14.4,,10,12,13,15,18,21
01.03.2000,11.4,,9,12,14,15,19,20
02.03.2000,10,,9,11,13,14,18,19
03.03.2000,5,,8,10,11,14,17,19
06.03.2000,8.2,,8,10,12,14,18,19
07.03.2000,7.25,,8,10,12,14,18,19
09.03.2000,5.6,,8,11,14,16,20,22
10.03.2000,4.8,,7,9,11,14,18,19
13.03.2000,8.4,,8,11,14,16,20,22
14.03.2000,6.4,,8,11,14,16,20,22
15.03.2000,4.67,,5,10,13,16,20,20
16.03.2000,6.4,,6,8,10,12,16,17
17.03.2000,4.5,3,5,7,10,12,16,17
20.03.2000,5,,7,10,12,15,19,20
21.03.2000,4.9,,5,8,10,11,14,15
22.03.2000,5,,5,8,10,11,13,15
23.03.2000,4.8,,5,7,9,10,12,13
24.03.2000,4.25,2,4,8,10,12,13,14
27.03.2000,4.5,,6,9,10,12,13,14
28.03.2000,4.8,,6,8,10,12,13,14
29.03.2000,4.2,,7,9,10,11,12,13
30.03.2000,4.67,,7,8,10,11,12,13
31.03.2000,11.4,20,8,10,12,13,14,15
03.04.2000,9.6,,6,8,11,12,14,16
04.04.2000,6.1,,6,8.5,10,12,13,16
05.04.2000,4.6,,5,8,9,11.5,13,15
06.04.2000,4.4,,5,7.5,8.5,11.5,13,15
07.04.2000,4,,5,7,9,11.5,13,15
10.04.2000,4,,6,9,10,12,13,15
11.04.2000,4,,6,10,11,12,15,16
12.04.2000,4,,5,10,11,12,13,15
13.04.2000,4,,5,10,11,12,13,15
14.04.2000,4.25,0.5,5,9,11,12,13,15
17.04.2000,4.2,,5,10,11,12,13,15
18.04.2000,7,,8,11,12,12,13,15
19.04.2000,8.2,,8,9,10,11,13,15
20.04.2000,5.6,,9,10,10,11,13,15
21.04.2000,7,,9,10,10,11,13,15
24.04.2000,7.8,,9,10,10,11,13,15
25.04.2000,7.4,,8,10,12,13,16,17
26.04.2000,11.6,,8,10,12,13,16,16
27.04.2000,18.4,,9,11,12,13,16,17
28.04.2000,12.4,,10,11,14,14,19,20
03.05.2000,15.4,,10,11,13,14,19,20
04.05.2000,9.2,,14,12,15,15,19,16
05.05.2000,5.4,,9,11,13,14,19,20
06.05.2000,4.8,,9,11,13,14,19,20
10.05.2000,5.5,,,,,,,
11.05.2000,5.75,,,,,,,
12.05.2000,4.6,,6,8,,10,11,13
15.05.2000,5.4,,6,8,,10,11,13
16.05.2000,5,,5,7,9,10,12,13
17.05.2000,5.8,,13,11,13,14,18,16
18.05.2000,5.2,,4,7,9,10,12,13
19.05.2000,4.4,,5.5,8,9,10,11,13
22.05.2000,6,,5.5,8,9,10,11,13
23.05.2000,6,,6,9,10,11,12,14
24.05.2000,6.2,,7,8.5,9,9.5,11.5,12.5
25.05.2000,6.6,,10,9.5,9.5,10,13,14
26.05.2000,5.2,,5,7,8,10,12,14
29.05.2000,6.1,,5,8,8.5,9.5,13,14
30.05.2000,8.6,,6,9,9.5,10,13,14
31.05.2000,8.7,,6,8.5,9,9.5,12.5,14
01.06.2000,7.1,,6,8.5,9,9.5,12.5,14
02.06.2000,4.6,,4,5.5,6.5,9,10,13
05.06.2000,4.8,,4,5.5,6.5,9,10,13
06.06.2000,4.6,,4,5.5,6.5,9,10,13
07.06.2000,4.8,,4,5.5,6.5,9,10,13
08.06.2000,4.6,,4,5.5,6.5,9,10,13
09.06.2000,3.9,,4,5.5,6.5,9,10,13
13.06.2000,5.6,,4,5,6.5,9,10,13
14.06.2000,5.4,,4,5,6.5,9,10,13
15.06.2000,5.8,,4,5,6.5,9,10,13
16.06.2000,4.8,,4,5,6.5,9,10,13
19.06.2000,5.2,,4,5,6.5,9,10,13
20.06.2000,5.2,,4.5,7,7.5,8.5,9.5,12
21.06.2000,5.6,,4.5,7,7.5,8.5,9.5,12
22.06.2000,5.4,,4.5,7,7.5,8.5,9.5,12
23.06.2000,4.2,,4.5,7,7.5,8.5,9.5,12
26.06.2000,5,,4.5,7,7.5,8.5,9.5,12
27.06.2000,5.8,,4.5,7,7.5,8.5,9.5,12
28.06.2000,5.3,,4,5,6,7,8,10
29.06.2000,4.7,,4,5,6,7,8,10
30.06.2000,4.7,,4,5,6,7,8,10
03.07.2000,5.3,,4,5,6,7,8,10
04.07.2000,5.6,,4,5,6,7,8,10
05.07.2000,5.8,,4,5.5,6.5,7,8,8.5
06.07.2000,4,,3,4,6,7,9,10
07.07.2000,4.2,,3,,,,,
10.07.2000,5,,3,4,5,7,9,10
11.07.2000,3.7,,3,4,5,7,9,10
12.07.2000,3.7,,3,4,5,7,9,10
13.07.2000,3.7,,3,4,5,6,8,10
14.07.2000,3.82,,3,4,5,6,8,10
17.07.2000,3.7,,3,4,5,6,8,10
18.07.2000,2.6,4,4,5,5,6,8,10
19.07.2000,2.7,4,4,5,5,6,8,10
20.07.2000,2,4,4,5,5,6,8,10
21.07.2000,1.75,4,3.88,5,5,5.75,8.25,9.5
24.07.2000,2.45,4,3.88,5,5,5.75,8.25,9.5
25.07.2000,2.35,4,3.88,4.88,,5,,9
26.07.2000,2.35,2,4,,,,,
27.07.2000,1.9,2,4,,,,,
28.07.2000,2.04,2,4,,,,,
31.07.2000,8.19,,10.32,,,9.68,,10.9
